Oberbegriff	ID_Oberbegriff	konkretes_Treatment	ID_konkret	Strukturebene	Typ_konkret	Unterkategorie_konkret	Begründung	geplante_Aliasrichtung
Nährstoffinfusionen	333	Vitamin C (intravenös)	117	2 – Untergruppe → konkrete Infusion	Infusionen		intravenöse Gabe eines Nährstoffs, Vitamins oder metabolisch eingesetzten Cofaktors	Nährstoffinfusionen → Vitamin C (intravenös)
Nährstofftherapie	334	Mikronährstofftherapie	319	1 – Oberbegriff → Nährstoffkonzept	Nahrungsergänzungsmittel	Kombinationspräparate und übergreifende Nährstoffkonzepte	klarer Teilbereich oder konkrete Ausprägung einer Nährstofftherapie	Nährstofftherapie → Mikronährstofftherapie
Nährstofftherapie	334	Mineralstofftherapie	436	1 – Oberbegriff → Nährstoffkonzept	Nahrungsergänzungsmittel	Mineralstoffe und Spurenelemente	klarer Teilbereich oder konkrete Ausprägung einer Nährstofftherapie	Nährstofftherapie → Mineralstofftherapie
Nährstofftherapie	334	Vitamintherapie	435	1 – Oberbegriff → Nährstoffkonzept	Nahrungsergänzungsmittel	Vitamine	klarer Teilbereich oder konkrete Ausprägung einer Nährstofftherapie	Nährstofftherapie → Vitamintherapie
Nährstofftherapie	334	Aminosäurentherapie	437	1 – Oberbegriff → Nährstoffkonzept	Nahrungsergänzungsmittel	Aminosäuren und verwandte Stoffe	klarer Teilbereich oder konkrete Ausprägung einer Nährstofftherapie	Nährstofftherapie → Aminosäurentherapie
Nährstofftherapie	334	Vitamin-, Mineralstoff- & Aminosäurentherapie (Kombi)	397	1 – Oberbegriff → Nährstoffkonzept	Nahrungsergänzungsmittel	Aminosäuren und verwandte Stoffe	klarer Teilbereich oder konkrete Ausprägung einer Nährstofftherapie	Nährstofftherapie → Vitamin-, Mineralstoff- & Aminosäurentherapie (Kombi)
Mikronährstofftherapie	319	Mineralstofftherapie	436	2 – Untergruppe → konkreter Teilbereich	Nahrungsergänzungsmittel	Mineralstoffe und Spurenelemente	Vitamine und Mineralstoffe sind Mikronährstoffe	Mikronährstofftherapie → Mineralstofftherapie
Mikronährstofftherapie	319	Vitamintherapie	435	2 – Untergruppe → konkreter Teilbereich	Nahrungsergänzungsmittel	Vitamine	Vitamine und Mineralstoffe sind Mikronährstoffe	Mikronährstofftherapie → Vitamintherapie
Immunologische Therapie	413	Intravenöse Immunglobuline (IVIG)	411	1 – Oberbegriff → konkretes Therapieverfahren	Infusionen		konkretes immunologisch ausgerichtetes Therapieverfahren	Immunologische Therapie → Intravenöse Immunglobuline (IVIG)
Immunologische Therapie	413	Mikroimmuntherapie	316	1 – Oberbegriff → konkretes Therapieverfahren	Systemische Therapiekonzepte		konkretes immunologisch ausgerichtetes Therapieverfahren	Immunologische Therapie → Mikroimmuntherapie
Antiinfektive Therapie	401	Paxlovid	78	1 – Oberbegriff → konkretes Arzneimittel	Arzneimittel	Antiviral und antiinfektiv	konkrete antivirale Therapie	Antiinfektive Therapie → Paxlovid
Vagustherapie	385	Vagusnerv-Stimulation	71	1 – Oberbegriff → konkretes Verfahren	Gerätegestützte Verfahren		konkrete Form der therapeutischen Vagusnerv-Stimulation	Vagustherapie → Vagusnerv-Stimulation
Zellmembrantherapie	399	Phospholipidtherapie	344	1 – Oberbegriff → konkretes Konzept	Systemische Therapiekonzepte		Phospholipidtherapie ist eine konkrete membranbezogene Therapieausprägung	Zellmembrantherapie → Phospholipidtherapie
Physiotherapie	346	Atemphysiotherapie	175	1 – Oberbegriff → konkrete Therapieform	Bewegung und Rehabilitation		spezialisierte Form der Physiotherapie	Physiotherapie → Atemphysiotherapie
Atemtherapie	176	Atemphysiotherapie	175	1 – Oberbegriff → konkrete Therapieform	Bewegung und Rehabilitation		spezialisierte physiotherapeutische Form der Atemtherapie	Atemtherapie → Atemphysiotherapie
Atemtherapie	176	Atemübungen	70	1 – Oberbegriff → konkrete Maßnahme	Selbstmanagement und Alltag		konkrete Durchführung einer Atemtherapie	Atemtherapie → Atemübungen
Coaching	89	Mentaltraining	314	1 – Oberbegriff → konkretes Coaching-/Trainingskonzept	Coaching, Beratung und Schulung		konkretes angeleitetes Trainings- bzw. Coachingkonzept	Coaching → Mentaltraining
Coaching	89	Brain Retraining	187	1 – Oberbegriff → konkretes Coaching-/Trainingskonzept	Coaching, Beratung und Schulung		konkretes angeleitetes Trainings- bzw. Coachingkonzept	Coaching → Brain Retraining
Nervensystemregulierende Maßnahmen	420	Achtsamkeitsmeditation	164	1 – Oberbegriff → konkrete Maßnahme/Konzept	Selbstmanagement und Alltag		konkrete Maßnahme oder Therapie zur Beeinflussung autonomer bzw. zentraler Regulation	Nervensystemregulierende Maßnahmen → Achtsamkeitsmeditation
Nervensystemregulierende Maßnahmen	420	Atemübungen	70	1 – Oberbegriff → konkrete Maßnahme/Konzept	Selbstmanagement und Alltag		konkrete Maßnahme oder Therapie zur Beeinflussung autonomer bzw. zentraler Regulation	Nervensystemregulierende Maßnahmen → Atemübungen
Nervensystemregulierende Maßnahmen	420	Strategien zur Stressreduktion	367	1 – Oberbegriff → konkrete Maßnahme/Konzept	Selbstmanagement und Alltag		konkrete Maßnahme oder Therapie zur Beeinflussung autonomer bzw. zentraler Regulation	Nervensystemregulierende Maßnahmen → Strategien zur Stressreduktion
Nervensystemregulierende Maßnahmen	420	Trance-CDs	377	1 – Oberbegriff → konkrete Maßnahme/Konzept	Selbstmanagement und Alltag		konkrete Maßnahme oder Therapie zur Beeinflussung autonomer bzw. zentraler Regulation	Nervensystemregulierende Maßnahmen → Trance-CDs
Nervensystemregulierende Maßnahmen	420	Vagustherapie	385	1 – Oberbegriff → konkrete Maßnahme/Konzept	Systemische Therapiekonzepte		konkrete Maßnahme oder Therapie zur Beeinflussung autonomer bzw. zentraler Regulation	Nervensystemregulierende Maßnahmen → Vagustherapie
Nervensystemregulierende Maßnahmen	420	Vagusnerv-Stimulation	71	1 – Oberbegriff → konkrete Maßnahme/Konzept	Gerätegestützte Verfahren		konkrete Maßnahme oder Therapie zur Beeinflussung autonomer bzw. zentraler Regulation	Nervensystemregulierende Maßnahmen → Vagusnerv-Stimulation
